"","paper","year","authors","title","conceptual paper","reviewer 1","reviewer 2","input data","preprocessing","method/analysis/processing","computational environment","results","reviewer notes"
"71","102012","2012","Pradeep Mohan, Xun Zhou, Shashi Shekhar","Quantifying Resolution Sensitivity of Spatial Autocorrelation: A Resolution Correlogram Approach","F","MK","BH","0","1","1","1","1","MK: Enough info on comp. env. for a 1? Could not find the referenced data; BH: couldn't find data either, but might be easy for someone working with climate data; preprocessing is the generation of different resolutions of the raster images, no? that is documented; comp. env - couldn't find details on that

DN: RSA algorithm is not part of their work, I agree this is preprocessing"
"72","112012","2012","Silvia Nittel, Christopher Dorr, John C. Whittier","LocalAlert: Simulating Decentralized Ad-Hoc Collaboration in Emergency Situations","F","BH","DN","NA","NA","2","1","1","DN: present open source agent simulation framework; text describes model ""space"" and abilities/behaviours of agents, and the different tested strategies; examples for available framework parameters are given; implementation based on NetLogo (version not mentioned), code is still archived at https://code.google.com/archive/p/gaem/source/default/source; sadly no README, a NetLogo user could possibly run this; the frame.nlogo seems to configure ""experiments"" that could match the evaluation variants described in the paper; output data not ""saved"" but potentially recreatable; BH: data = described parameters for agents defined in the simulation?

FO/CG: configuration is part of analysis"
"73","122012","2012","Avinash Rude, Kate Beard","High-Level Event Detection in Spatially Distributed Time Series","F","DN","CG","0","1","1","0","1","CG: barometric data smooth --> preprocessing. Regarding input data, it only mentions the GOMOOS system (pretty much the same as 'available upon request')

DN: approach illustrated with simulated time series data, then with real data of an ocean observing system, compared agains NCDC reported events; no information about how simlated data was generated, also not available, just a Figure with the plotted data; GoMOOS data not sufficiently described (time yes, but not which buoys, though with some digging one might infer them from the maps...); data smoothing with low-pass filter is preprocessing; NCDC storm database still available (under different URL), so a partial ""1"" for data; results are shown with plots/maps;"
"74","132012","2012","Thiago Luís Lopes Siqueira, Cristina Dutra de Aguiar Ciferri, Valéria Cesário Times, Ricardo Rodrigues Ciferri","Towards Vague Geographic Data Warehouses","F","MK","FO","0","NA","2","0","2","FO: Difficult case; I gave the scores of 2 because of the link, and the 0 because I could not find any information on the input data nor how it was preprocessed (if at all); they give us reproducible details on a case study DB without the actual data... 
MK: Not sure if there is any preprocessing going on. I couldn't find information on comp. env."
"75","142012","2012","Guibo Sun, Hui Lin, Rongrong Li","Measuring the Influence of Built Environment on Walking Behavior: An Accessibility Approach","F","FO","MK","1","1","1","0","1","FO: I was tempted for 0 for data, because I could not find any information on the DEM; however, a DEM for that area is certainly easily available, so I guess a 1 is okay
MK: I couldn't find information on comp. env."
"76","152012","2012","Guillaume Touya","Social Welfare to Assess the Global Legibility of a Generalized Map","F","CG","BH","0","NA","1","0","1",NA
"77","162012","2012","Jan Oliver Wallgrün, Jinlong Yang, Alexander Klippel, Frank Dylla","Investigations into the Cognitive Conceptualization and Similarity Assessment of Spatial Scenes","F","MK","DN","1","NA","1","1","1","DN: three human experiments; icon sets could be provided, especially the ones after manual selection; describe hardware and software (CatScan, with paper ref) in text;

MK: I coud not find info on comp. env."
"78","172012","2012","Lisa A. Walton, Michael Worboys","A Qualitative Bigraph Model for Indoor Space","T",NA,NA,NA,NA,NA,NA,NA,NA
"79","182012","2012","Toyohide Watanabe, Kosuke Yamamoto","Dynamic Refuse Collection Strategy Based on Adjacency Relationship between Euler Cycles","F","BH","FO","2","NA","1","0","1","FO: pdf has three blank pages where the simulation would be; can't assess it; BH: I have no issues with the document; link to data could be restored; comp. env. not specified SOLVED"
"80","192012","2012","Ting Wei, Scott Bell","Impact of Indoor Location Information Reliability on Users’ Trust of an Indoor Positioning System","F","DN","MK","1","NA","1","0","1","DN: human subject study; SaskEPS software; created data should be shared;"
"81","202012","2012","Nancy Wiegand","Ontology for the Engineering of Geospatial Systems","F","FO","BH","1","NA","1","0","1","BH: they say that they used Twinkle - is that sufficient as description of the comp. eng?  http://semanticweb.org/ontologies/2010/3/9/Ontology1270863566125.owl   FO:Agree"
"82","212012","2012","Nancy Wiegand","Preserving Detail in a Combined Land Use Ontology","F","CG","DN","1","1","1","0","0","DN: ""custom Java code"" already mentioned in the abstract :-); ""established once then myriad uses""; indented bullet lists in Word as database, manual work; https://ontohub.org/socop/WisLandUseCodes///symbols?kind=Class; CG: I see prepocessing as the manual process of creating the ontology"
"83","222012","2012","Michael Worboys","The Maptree: A Fine-Grained Formal Representation of Space","T",NA,NA,NA,NA,NA,NA,NA,NA
"84","232012","2012","Hui Yang, Gefei Feng","Automatic Creation of Crosswalk for Geospatial Metadata Standard Interoperability","F","MK","FO","1","0","1","0","1","MK: I am fine with the results. Not sure if preprocessing is happening"
"85","242012","2012","KwangSoo Yang, Venkata M. V. Gunturi, Shashi Shekhar","A Dartboard Network Cut Based Approach to Evacuation Route Planning: A Summary of Results","F","BH","CG","2","NA","1","1","1","CG: link to data is broken; however, US Census/Tiger is a well-respected source, so it is essy to get the input data; BH: data are available, but have been updated in the meantime - but that is ok, I suppose"
"86","252012","2012","Eman M. G. Younis, Christopher B. Jones, Vlad Tanasescu, Alia I. Abdelmoty","Hybrid Geo-spatial Query Methods on the Semantic Web with a Spatially-Enhanced Index of DBpedia","F","DN","BH","1","NA","1","0","1","DN: ""filtered manually"", instructions are detailed, could potentially, with a lot of effort, recreate dataset somehow close to the original _for today_; Ordenance Survey and DBpedia still exist..."
"87","262012","2012","Yihong Yuan, Martin Raubal","Extracting Dynamic Urban Mobility Patterns from Mobile Phone Data","F","FO","DN","0","1","1","0","1","DN: they could have provided the voronoi poloygons with aggregated data; all processing is ""documented as text"" in section 3.2.1;

FO: the steps described in 3.2 could be considered steps of the main method

The authors distinguish between 3.2.1 and 3.2.2 (main method), so they also see the Voronoi polygon creation as preprocessing."
